Symbol,DIS,ALLE,TGT,CMCSA,GD,TAP,MYL,T,NLSN,HST,HSIC,EXPE,NWS,NWSA,CAH,HAS,ROST,HCA,HII,BIIB,TJX,TSCO,ALL,DVA,DISCA,AAP,DISCK,WY,WU,KMX,WBA,GILD,ADM,CVS,BA,AIG,JCI,DLTR,IFF,LUV,UHS,DISH,MPC,HFC,MRO,EOG,OXY,NBL,OKE,CXO,COP,HP,DVN,NOV,HES,CVX,BKR,APA,FTI,SLB,PSX,FANG,PXD,VLO,XOM,WMB,HAL,NWL,IVZ,LB,MOS,GPS,ALK,SCHW,CF,CMA,HBAN,JWN,KSS,FRC,HBI,KHC,DD,LNC,KEY,DFS,MET,FITB,TFC,WFC,UNM,ZION,USB,COF,BAC,MTB,MS,PBCT,NTRS,RJF,PFG,RF,C,STT,JPM,GS,BK,BEN,PRU,PNC,ETFC,CFG,EMR,EMN,GLW,ETN,FBHS,DOV,HOG,HON,GM,IPGP,HPE,INTC,FFIV,FAST,FDX,FCX,IBM,EXPD,FLS,ITW,PNR,PH,PPG,RHI,ROK,APTV,APH,RTX,SIVB,SNA,SWK,AMP,AME,TEL,TROW,TXT,UPS,URI,VFC,XYL,BLK,PCAR,FTV,MAR,LYB,BWA,MAS,MMM,CMI,LKQ,CE,LEG,CCL,NUE,CAT,NTAP,GOOGL,UNP,GL,L,UAA,WAT,KSU,GOOG,UA,OMC,LOW,LRCX,SYF,IEX,MTD,NSC,KEYS,HD,PKI,HLT,GPC,KLAC,A,CBRE,AXP,EBAY,AAPL,CSX,AMZN,BKNG,ADI,PVH,PRGO,BBY,PKG,ORCL,ODFL,NVDA,NCLH,PWR,MXIM,MU,MHK,MGM,MCHP,LVS,CSCO,DAL,DE,JNPR,CHRW,AVY,QRVO,JBHT,ZBRA,AAL,XRX,XLNX,WYNN,WRK,WHR,WDC,WAB,ADS,UAL,TXN,ALB,TPR,TIF,AMAT,SWKS,STX,ANET,AOS,RL,AVGO,RCL,QCOM,J,GE,IPG,F,IP,HPQ,GWW,FMC,FLIR,IR,DXC,AMCR,CME,NEM,LW,HSY,EIX,DHI,HRL,DXCM,CBOE,ATO,NI,SRE,ED,ETR,EXC,DTE,PEG,AEP,AEE,DUK,PNW,D,FE,VTR,ES,NEE,PEAK,EVRG,CMS,AWK,PSA,WEC,XEL,O,WELL,AMT,LNT,SO,EXR,TWTR,CTXS,CTSH,BDX,AMD,ABBV,ILMN,TMO,NFLX,GRMN,CPRT,BAX,VAR,FB,LIN,ISRG,AZO,LH,PFE,IQV,ZBH,COO,ABT,CDNS,SHW,FLT,APD,ROP,CDW,EFX,PYPL,PAYX,BR,ECL,JKHY,IT,WLTW,AON,VRSN,SNPS,ADP,V,ADBE,MA,ADSK,ACN,AFL,MCO,LDOS,INTU,ANSS,AJG,CTAS,HIG,GPN,SPGI,NKE,TDG,MSCI,MSFT,MMC,INFO,EQR,FRT,REG,UDR,AIV,AVB,ARE,ESS,DRE,PLD,KIM,MAA,DLR,PHM,CNP,AES,GIS,CLX,CPB,CAG,VZ,SJM,LEN,BMY,NRG,DG,K,CMG,PPL,NVR,MLM,SBAC,CCI,MKTX,TSN,EQIX,CHD,MKC,TTWO,MCD,VMC,LHX,ICE,KO,KMB,WRB,BLL,RSG,MDT,FIS,FISV,EW,TFX,DHR,MRK,SYK,ZTS,HOLX,IDXX,BSX,RMD,STE,NOW,PAYC,PG,MDLZ,PGR,TRV,PEP,AIZ,WM,LMT,NOC,NDAQ,MSI,RE,CL,CINF,VRSK,CB,COTY,DRI,COG,IRM,CTL,HRB,SEE,MO,EA,DPZ,PM,KR,INCY,HUM,REGN,AMGN,VRTX,ALXN,ABMD,ALGN,CNC,XRAY,ANTM,ABC,UNH,MCK,CI,YUM,ORLY,JNJ,DGX,WMT,STZ,BXP,CHTR,SYY,SPG,MNST,TMUS,AKAM,SLG,CERN,KMI,SBUX,ULTA,ROL,LYV,EL,CRM,ATVI,VNO,LLY,FTNT,COST,Cluster
PEG,22,20,22,42,12,26,-2,30,42,2,4,30,28,34,-26,10,30,10,8,18,22,26,18,-16,14,24,10,42,24,18,-2,30,20,0,6,56,-4,30,4,12,-4,40,32,10,-6,-6,12,-48,24,-2,2,-8,-2,-18,8,24,20,-6,8,6,46,8,0,12,18,26,-2,0,38,-12,-32,-4,14,-10,-24,10,-10,-8,-28,4,-2,10,10,34,-10,26,28,2,20,-2,0,24,24,12,-16,14,10,38,-6,28,28,18,4,8,4,-4,8,6,48,16,4,-6,-24,6,18,2,26,8,18,26,6,18,26,8,16,18,12,-12,28,10,-6,2,12,8,6,24,16,16,28,36,4,10,18,24,-4,28,14,4,12,12,10,10,26,26,20,-12,12,14,36,-6,4,28,-14,20,2,-16,0,26,30,10,34,30,26,20,4,34,24,32,34,36,38,-6,38,6,26,16,18,22,44,24,18,8,24,6,12,34,36,14,24,10,0,18,-4,2,-4,2,0,16,26,2,36,-12,2,22,30,2,6,26,22,4,14,34,-4,4,10,4,6,-26,42,14,-22,2,22,12,10,2,6,2,6,32,24,4,10,12,-24,30,8,-14,16,0,-6,-4,12,-16,24,4,0,-26,20,36,-6,38,58,20,18,10,36,106,84,128,112,106,94,110,0,110,102,116,96,82,96,26,86,106,42,100,112,90,48,120,122,60,40,54,108,118,28,10,40,8,22,6,42,12,24,-14,30,22,20,32,16,18,26,42,22,38,18,12,-2,28,24,24,54,24,30,30,46,22,34,46,18,36,28,70,48,42,46,36,22,4,36,16,34,44,18,30,34,26,84,52,50,36,10,50,42,6,20,48,32,46,58,48,62,44,40,48,66,68,48,44,50,40,48,56,48,36,38,26,16,76,38,36,54,58,82,2,10,82,0,14,28,44,52,-12,46,58,28,6,30,20,36,34,52,48,78,12,44,34,38,16,30,38,10,32,42,34,0,54,22,44,28,34,6,70,26,52,60,44,60,70,18,48,46,32,38,72,86,46,66,8,12,32,36,-4,22,6,22,-10,-2,32,10,-4,16,-2,22,14,14,-2,14,-6,8,30,8,24,-8,-4,14,42,28,16,54,28,40,36,40,28,28,48,22,46,26,30,24,44,18,14,46,46,16,34,40,28,50,11
AEP,22,42,6,44,-4,24,2,28,26,10,-4,18,2,8,-14,6,14,6,12,10,2,0,36,-8,-4,0,-8,38,26,8,-32,20,10,16,-12,30,-2,14,8,-4,-4,10,10,-2,-22,-16,-6,-36,34,-12,8,-18,0,-56,-6,-2,8,-14,-12,-20,16,10,-10,0,-4,26,-32,0,-8,-10,-50,-16,-12,-26,-30,-28,-40,-20,-36,0,-10,8,-34,-16,-10,-4,-4,-8,0,-10,-26,8,6,-2,-26,-12,-30,18,-20,-10,12,2,-8,-20,4,-20,-8,-22,16,-4,-16,-8,-36,-34,-12,-40,10,-14,-26,8,-36,0,-28,-28,-26,-18,-18,-36,-2,-30,-12,-10,-2,-22,-20,0,-8,-24,12,36,-44,-30,-4,2,0,-2,0,-4,-24,-4,-14,12,18,2,0,-6,-18,-30,12,-6,-40,4,-42,-20,-20,-44,-18,2,18,-4,28,44,8,26,0,22,16,6,20,20,10,-4,38,10,0,6,22,10,12,20,18,6,12,-10,14,12,18,26,0,0,-4,4,-16,-22,-24,-18,-8,2,-12,-14,10,-18,-24,-8,18,4,-8,0,2,-14,-4,16,0,-18,-4,-32,-16,-16,24,-12,-10,-20,8,-12,-34,-34,0,-8,-6,-10,10,-26,12,-16,-20,-2,-8,-32,-10,-14,-12,-26,-38,-34,22,6,8,-36,32,66,28,62,54,52,22,20,40,122,98,116,144,146,112,142,110,0,142,144,150,120,118,58,128,152,74,118,166,130,78,164,166,92,76,90,156,146,84,8,34,14,18,14,34,24,44,14,26,30,22,36,30,2,42,0,26,36,28,20,24,40,34,16,64,10,40,24,30,24,42,40,12,32,24,78,62,36,38,44,32,32,50,16,36,50,20,56,36,48,72,36,56,46,18,56,52,6,22,50,40,76,72,62,88,62,70,66,90,82,80,62,72,58,56,60,72,54,38,40,48,72,50,40,30,68,74,28,34,90,30,40,50,80,66,20,68,72,54,32,40,36,52,52,72,78,82,28,64,36,40,16,36,58,40,62,62,34,20,60,56,62,48,54,30,54,56,30,72,48,60,76,54,66,60,64,52,74,82,54,72,-16,12,14,40,-22,0,16,44,0,12,16,18,12,40,-2,14,36,-2,6,14,6,14,26,20,52,0,30,10,12,48,40,20,8,50,48,8,32,50,58,36,16,48,38,4,24,-2,26,54,32,16,38,42,20,24,15
AEE,-2,42,-16,30,16,38,-2,26,20,22,12,16,-4,14,-2,8,10,-12,8,-10,4,12,16,-8,-24,-8,-24,36,0,8,-14,26,14,2,-32,26,10,12,-6,-14,10,12,8,-14,-20,-8,-6,-36,24,-8,-6,-16,6,-44,-6,10,24,-4,-4,-22,24,10,-4,-6,-6,20,-38,-4,-16,-22,-40,-28,-24,-42,-30,-14,-30,-20,-30,4,-14,6,-50,-8,-8,-4,0,-6,10,-12,-20,14,6,6,-26,-4,-38,18,-28,-20,-2,-2,-4,-32,-10,-32,-14,-22,4,0,-26,-4,-40,-30,-24,-22,10,-8,-12,8,-38,-10,-16,-18,-20,-2,-18,-40,12,-12,-6,-8,-10,-32,6,2,0,-26,14,30,-38,-20,-8,6,-10,12,4,-20,-6,-6,-10,6,16,2,4,-12,-16,-22,4,-8,-26,12,-18,-20,-12,-22,-28,2,26,2,22,26,4,16,8,30,4,10,2,24,10,10,52,16,12,10,34,14,34,22,32,6,30,14,16,22,10,0,22,-2,-10,8,0,-12,-10,-26,-8,-10,6,-6,12,-16,-8,0,-4,-2,-10,-2,-8,0,-8,10,-8,-22,-10,-12,-20,0,20,-10,-18,-24,-18,-2,-16,-32,-10,-18,-16,-2,-8,-32,4,-28,-20,24,-8,-8,-4,-24,0,-8,-14,-30,10,-2,-12,-18,4,42,34,52,50,26,24,14,22,148,120,100,138,136,94,148,102,142,0,122,140,94,116,62,104,126,62,130,150,102,62,142,150,86,84,52,154,134,88,18,-4,-18,22,16,26,28,42,4,10,26,40,44,12,30,24,18,20,44,36,38,28,36,42,28,30,32,40,28,24,6,46,28,20,22,12,68,64,38,40,44,18,34,30,-4,30,46,8,64,38,34,70,44,60,28,2,46,40,-2,20,54,32,88,78,78,88,84,86,70,108,98,80,68,82,38,42,74,72,56,52,20,40,58,48,28,46,66,62,22,30,78,18,30,60,62,22,18,56,52,42,36,40,38,44,24,74,72,70,34,82,56,50,18,48,54,72,54,60,30,36,54,72,76,42,32,24,66,54,34,54,68,48,64,54,64,40,42,50,76,78,50,74,-4,4,12,34,-18,-14,10,2,-16,6,16,6,10,10,4,2,24,-4,-6,-10,-10,14,18,14,12,-4,-8,8,-2,46,26,36,6,50,34,22,40,56,50,26,24,56,54,28,26,-2,18,44,34,-4,40,40,4,14,11
DUK,12,24,8,28,-6,32,18,28,34,14,-2,20,10,20,-14,20,12,4,-4,-8,-4,6,24,-14,-10,6,-12,54,26,10,-44,34,32,10,-12,8,-4,20,2,4,6,6,6,0,-32,-32,-16,-42,14,-30,-14,-36,-14,-38,-24,-10,-6,-26,-24,-26,6,-8,-8,-16,-8,2,-46,12,0,-12,-28,-8,6,-40,-22,-20,-28,-2,-18,-4,2,2,-12,-16,-16,-4,0,-14,2,-2,-26,8,10,-2,-36,-14,-28,24,-12,-16,-2,4,-10,-16,-2,-22,-10,-18,8,-4,-30,-20,-34,-16,-8,-14,26,-12,-14,-10,-22,10,-4,-26,-12,12,0,-30,6,-8,-22,-16,0,-22,6,-6,-4,-6,14,24,-26,-16,0,-4,-24,22,-4,-12,-6,12,0,-8,12,10,-6,-4,-4,-20,20,-8,-20,14,-18,-2,-2,-16,-20,6,14,0,20,30,6,18,2,22,10,18,14,22,6,-12,36,10,-18,6,20,24,26,10,14,16,-2,-28,26,16,-8,8,6,22,-8,-8,-6,-28,-4,-8,-2,-6,-6,-10,28,-16,-6,-10,-4,8,8,2,10,-16,0,36,-6,-16,4,-26,-16,-2,42,-2,-16,-6,6,0,-16,-22,-6,-10,14,0,0,0,2,-22,-20,-8,-24,-42,2,-18,-4,-12,-16,-32,32,2,8,-28,20,54,-2,38,54,42,28,0,36,108,80,102,128,124,104,114,116,144,122,0,134,118,110,52,112,128,62,112,132,118,76,122,126,78,64,64,140,104,62,10,20,-12,24,-22,20,14,40,-8,14,8,2,30,-2,4,12,8,26,36,10,12,-10,18,-4,26,12,16,2,14,32,-10,0,12,-4,18,4,58,32,10,2,26,-14,-2,8,2,14,30,2,28,6,10,44,22,40,2,0,32,22,-12,0,26,26,68,84,66,72,42,60,56,68,66,54,56,70,46,54,62,58,32,50,28,34,78,40,44,58,64,60,22,14,74,28,38,34,58,36,-4,30,56,44,16,34,42,36,18,80,62,50,18,44,24,18,10,14,28,22,50,40,32,8,22,30,46,40,12,0,52,48,32,46,58,50,58,42,42,26,28,24,76,66,36,78,-8,14,12,34,-32,16,20,22,-4,4,16,26,-6,22,-6,36,18,-6,2,-10,-20,14,-4,-2,8,-18,-2,10,22,42,26,32,4,42,30,26,46,36,40,22,48,22,4,8,12,2,-8,38,8,16,44,42,-4,6,5
PNW,0,14,-2,16,18,26,2,18,26,2,-4,-2,-6,6,-28,-8,12,-12,10,0,-18,-20,14,-10,-22,16,-26,42,0,-8,-46,14,-4,-2,-14,14,-4,6,-6,-16,-4,-12,14,0,-10,-10,4,-28,42,-6,20,0,10,-40,-2,8,14,4,6,-22,18,8,0,-10,6,22,-18,2,-6,-12,-20,-24,-16,-32,-18,-20,-44,-18,-38,-6,-14,14,-30,-18,-34,-4,-20,-22,-16,-24,-8,-2,-6,-6,-26,-14,-32,8,-18,-22,14,-6,-10,-26,-18,-44,-10,-16,4,-18,-16,-16,-26,-14,-12,-12,-10,-24,-18,-2,-26,8,-36,-14,-14,-12,-40,-16,12,-22,2,-20,-8,-16,-18,2,-2,-16,10,22,-50,-28,-14,-4,-2,10,-4,2,-20,2,-16,2,12,10,10,-22,0,-14,-10,4,-36,12,-34,-8,-18,-18,-20,6,4,6,-4,34,-2,8,-2,4,-2,-8,10,30,2,4,28,22,-6,0,24,6,22,14,14,-4,14,8,-12,16,4,6,-6,2,-8,-6,16,-16,-26,-16,-10,-10,-2,0,12,-16,-28,-2,16,-8,-18,6,-10,2,-2,22,10,-28,-2,-10,-10,0,20,-6,-4,-2,10,-14,-24,-24,-2,-6,-18,-20,8,-16,-8,-44,-22,-10,-4,-22,-6,-8,4,-26,-16,-38,22,4,-4,-28,22,46,12,44,58,30,0,8,36,122,116,88,136,122,88,134,96,150,140,134,0,114,104,64,106,138,74,114,138,120,72,148,136,70,92,78,150,104,84,20,14,0,20,0,20,30,42,6,18,16,32,22,-14,2,24,-2,16,28,34,14,22,26,10,6,32,14,26,2,32,10,32,32,18,30,6,60,64,18,16,38,6,18,20,-8,6,24,6,38,22,22,56,34,48,44,-4,30,42,-4,12,46,30,54,66,64,78,62,56,66,86,72,64,52,60,56,34,72,62,36,40,36,54,54,44,24,24,64,54,24,26,64,22,14,50,60,36,6,58,70,46,20,42,34,50,34,56,74,42,32,48,36,42,10,34,56,42,50,44,36,20,40,48,50,30,32,12,38,42,30,58,44,48,74,48,52,38,66,26,62,66,58,66,0,4,18,20,-42,6,16,10,-2,10,10,18,8,26,8,24,42,2,12,8,16,22,24,2,46,-18,12,8,10,36,26,18,18,50,30,-4,40,46,54,24,24,34,38,24,22,12,12,36,32,-8,44,44,12,14,20
D,18,36,16,22,4,42,4,38,24,40,20,4,0,0,-6,26,4,20,0,8,2,-12,58,22,18,22,18,34,28,16,-22,18,6,18,-14,26,22,44,18,-22,24,4,30,24,-6,-12,16,-18,48,-18,22,-4,6,-22,-4,8,14,10,0,2,0,-4,4,10,20,42,-18,-4,6,4,-24,-2,-14,-22,-6,6,-14,-6,-20,0,-14,6,-18,8,2,8,10,8,10,10,2,20,14,18,-2,6,-6,34,2,-6,14,20,14,2,8,-6,0,0,28,20,-8,22,6,-12,2,10,18,20,6,12,-24,20,-8,-6,-2,6,-12,-10,12,18,-2,0,8,-4,6,14,10,-8,34,32,-18,-2,20,8,4,26,-4,10,2,10,0,10,36,24,26,0,22,6,22,12,2,20,-12,8,-6,-8,0,14,18,10,16,54,16,18,20,22,24,-24,14,26,8,14,52,20,-2,8,32,34,38,10,38,30,22,8,20,18,20,12,18,24,20,10,6,6,-6,-16,-6,22,8,2,22,-8,-22,-2,22,6,10,6,2,0,-10,10,-6,-22,14,-34,-18,20,18,2,12,-2,0,4,-14,-16,14,-2,-8,4,10,14,-12,-16,-14,0,6,-10,-4,-20,8,-8,0,-18,10,32,4,-44,26,38,4,26,76,38,-12,12,30,104,84,100,110,92,70,122,82,120,94,118,114,0,80,52,108,98,66,90,118,94,50,106,104,66,82,84,112,116,42,30,58,20,18,4,40,38,54,40,22,20,26,26,20,16,12,24,32,30,34,4,30,28,20,34,32,22,42,32,28,18,22,12,10,22,18,66,60,34,26,-2,2,10,28,12,38,36,30,22,24,22,48,22,36,24,0,36,46,-4,16,42,52,72,68,68,72,72,62,76,80,74,70,62,78,60,32,66,84,52,24,28,38,52,22,26,34,72,52,6,28,58,12,40,66,58,44,10,58,46,30,0,-2,36,30,54,42,64,46,26,46,38,22,14,14,40,20,58,36,40,20,46,44,38,36,36,24,32,30,10,50,46,62,70,20,16,50,34,12,44,60,64,54,-6,-4,10,46,-28,10,-10,14,-2,2,10,-18,20,42,8,32,42,10,4,26,12,26,44,16,54,2,20,24,32,36,38,34,30,56,22,10,38,20,48,40,32,30,52,-4,6,14,12,4,24,8,32,48,0,-2,17
FE,26,44,8,44,10,36,22,24,48,30,38,18,28,38,12,8,8,20,16,6,16,16,42,22,-4,12,-8,60,16,18,-6,40,34,22,6,36,34,30,10,10,26,8,24,4,-30,-6,-20,-38,18,0,-6,-16,6,-18,-16,8,12,-4,-6,-12,8,-4,0,-2,4,14,-36,6,12,8,-22,22,16,-22,-12,0,0,-8,-12,2,4,14,-6,6,6,28,36,8,12,0,-4,20,30,14,-6,8,-10,40,8,4,26,26,12,-10,6,4,18,-14,14,6,-2,16,-28,-2,6,-8,32,4,-16,10,12,32,4,-6,4,16,-12,-22,26,6,2,0,10,-14,32,20,6,10,12,42,0,0,20,16,-8,34,12,18,28,22,18,16,18,22,22,6,20,2,32,12,-6,12,-4,8,6,-14,-12,0,28,22,26,42,28,28,18,32,28,12,26,28,46,12,44,38,30,36,32,28,30,14,32,26,38,16,16,44,32,26,20,24,4,14,18,-2,4,10,24,10,20,8,46,-16,2,4,6,2,18,12,6,2,6,46,-4,-4,8,0,0,14,50,2,2,2,22,22,-8,0,20,-12,16,28,12,12,18,-10,16,20,-10,-8,6,16,24,-10,-8,-32,26,10,22,-6,18,-6,8,42,42,26,22,16,4,118,126,72,112,116,94,122,96,118,116,110,104,80,0,58,86,110,42,94,126,94,66,114,124,48,64,26,114,106,66,24,28,14,38,20,46,34,38,22,16,30,42,34,26,-10,32,12,28,44,48,22,30,40,36,18,28,8,50,22,28,4,38,32,12,30,36,70,48,22,28,26,14,28,36,6,30,44,20,60,22,30,72,34,56,44,26,30,28,18,20,58,20,62,58,68,74,68,70,54,86,72,66,74,68,30,46,74,46,64,52,28,44,74,60,50,32,58,58,40,18,80,26,34,34,40,16,16,36,38,36,32,22,28,22,24,58,68,68,30,52,52,26,8,34,52,46,48,50,16,56,50,34,72,36,26,28,40,58,44,46,42,74,62,52,58,38,20,32,48,84,56,70,12,24,28,20,-12,16,18,12,14,-8,16,32,20,24,10,-4,10,20,16,12,14,30,12,14,24,10,14,10,2,42,36,26,12,44,30,32,44,44,64,38,32,32,32,16,0,20,34,24,14,20,34,32,8,18,4
VTR,-8,20,-16,4,-8,8,-4,-2,-30,40,-2,-26,-30,-16,-14,6,-16,-12,-30,4,-12,-20,10,14,2,2,-4,34,-4,-8,10,10,10,-2,-38,-6,10,4,8,-4,-20,-4,6,14,-28,-16,-8,-30,-2,-14,-8,-20,-26,-12,-14,-30,10,-18,0,-24,-24,8,-4,-2,-22,-2,-30,10,-30,-24,-28,-46,-14,-66,-12,-38,-50,-22,-32,-26,-14,0,-64,-40,-28,-40,-20,-38,-28,-8,-38,-30,-18,-34,-28,-30,-16,-12,-24,-66,0,-28,-2,-42,-20,-28,-36,-20,-52,-32,-48,-20,-38,-24,-20,-14,-4,-8,-28,8,-20,-4,-36,-18,-2,-18,-32,-42,4,-18,-4,-8,-12,-36,-2,-8,-8,-24,-18,-8,-42,-14,-6,-36,-10,-4,-48,6,-8,-14,-10,4,-4,-26,-6,-18,-6,-30,-6,-6,-26,-38,-32,-24,-10,-24,-36,-42,-10,-6,-16,28,-22,10,-14,-10,-16,-10,-8,2,-24,-18,8,-16,-22,8,4,-2,8,10,22,2,-4,4,-4,-8,28,-4,-26,-38,-32,-6,34,-6,-12,-20,-8,6,-16,-16,-14,-24,-20,-34,-16,6,-14,2,0,-4,-54,10,-10,-6,-10,-24,-14,24,16,-14,-4,-10,-18,-16,-26,6,-10,-24,-32,-8,-38,4,-32,-40,-34,-20,-14,-10,-28,-8,12,-38,-16,-36,-12,6,-16,-36,-2,12,14,12,20,14,-6,12,4,52,64,40,76,60,44,58,26,58,62,52,64,52,58,0,66,64,140,60,74,80,62,56,60,100,128,58,80,44,78,44,6,0,4,4,28,10,20,8,-10,-16,12,22,28,-12,16,-24,16,22,34,-2,10,14,20,18,12,6,30,-2,16,-2,10,8,-12,10,6,18,32,14,32,-6,10,22,0,-8,6,14,2,18,20,12,20,18,6,0,-4,16,14,-40,2,-10,-16,82,80,72,78,100,96,70,90,88,82,82,78,96,24,32,8,52,40,0,40,20,4,38,24,16,22,32,28,-10,16,0,52,70,24,20,58,34,22,28,26,0,14,18,46,52,58,12,46,6,34,18,6,40,42,40,28,36,32,38,20,50,36,24,36,48,48,16,52,30,14,58,20,4,22,14,-16,60,78,28,62,-20,-12,-28,32,-22,0,0,-26,-4,-6,4,4,-4,6,16,20,6,12,-2,14,8,-14,8,14,6,-16,4,10,-28,24,24,14,38,54,22,-14,60,-20,26,14,38,-6,2,-6,-12,-2,18,4,-12,6,42,20,-4,14,10
ES,0,26,18,-6,-6,36,-24,14,0,8,-2,6,-22,-18,-4,12,20,-10,8,-4,12,-10,14,2,-6,-2,-4,18,24,8,-22,26,6,2,-38,0,-2,12,0,0,-4,-6,-2,-4,-38,-26,-14,-40,24,-24,-10,-28,-12,-40,-22,-8,-6,-28,-10,-38,-4,-8,-24,-10,-14,20,-34,14,-22,-22,-44,-22,-10,-20,-18,-34,-44,8,-22,-20,-38,0,-44,-22,-6,-30,-16,-14,2,-26,-32,12,0,-10,-22,-12,-30,6,-24,-32,2,-16,0,-32,-10,-36,-14,-24,-6,-6,-24,-8,-38,-50,-18,-32,16,-10,-20,-16,-62,-26,-36,-30,-32,-26,-28,-56,-12,-16,-10,-22,-18,-46,-20,4,-14,-48,12,20,-38,-28,-18,2,-12,-10,-22,-18,-20,-24,-8,-2,10,-24,-20,-20,-22,-38,16,-38,-32,-18,-34,-40,-16,-24,-28,-20,0,4,20,14,10,24,10,0,16,-20,14,16,-14,-20,18,28,-8,16,12,18,20,12,22,-20,2,-6,20,18,-2,6,-18,-18,-4,10,2,-22,-10,-26,-22,-4,-20,-38,16,-24,-20,-18,-6,-8,-16,-2,10,-22,-32,4,-20,-20,-16,-40,-50,-2,20,-42,-24,-18,-16,4,-12,-36,-2,-18,-18,-14,-2,-28,-28,-46,-14,-26,-4,-36,-12,-28,-10,-26,-10,-66,10,-4,-26,-38,38,54,18,52,70,50,18,20,34,96,70,94,130,108,88,116,86,128,104,112,106,108,86,66,0,128,96,86,136,120,94,124,124,80,76,88,130,118,56,12,28,-10,2,-4,32,28,34,-4,2,14,26,20,-10,18,8,-8,18,14,18,6,8,4,14,40,28,6,32,20,24,10,28,24,4,12,-6,58,52,32,32,10,-4,8,18,2,20,26,14,30,28,22,58,44,36,14,2,34,30,-8,8,34,42,62,42,42,60,62,42,60,70,48,48,38,58,70,60,40,68,54,38,42,30,70,34,38,50,42,62,18,46,58,18,26,62,66,62,12,78,74,42,24,28,38,50,42,64,80,54,22,50,42,44,28,24,24,34,42,30,32,-2,52,34,38,18,30,16,64,52,10,52,48,24,62,32,40,30,46,12,62,66,70,56,-22,-10,-4,20,-28,-16,-4,36,4,-2,16,18,-10,18,0,12,28,-10,-14,16,2,-10,10,22,40,22,0,30,22,20,42,36,20,32,26,26,-2,38,44,28,14,48,14,-2,26,-4,6,44,14,20,2,26,2,30,6
NEE,16,20,6,28,-12,26,-20,20,12,-2,-8,12,0,0,-28,-22,-10,-14,0,-14,-12,-18,6,-26,-22,-12,-22,30,24,8,-40,2,18,4,-24,0,-14,16,-14,-32,-8,-6,-2,-12,-36,-30,-44,-44,10,-32,-20,-42,-24,-66,-26,-20,0,-26,-14,-40,0,-6,-22,-18,-20,0,-58,-28,-14,-34,-60,-22,-34,-46,-54,-46,-46,-28,-54,-14,-38,-2,-40,-30,-20,-26,-18,-30,-16,-28,-38,-18,6,-22,-42,-32,-40,-10,-36,-26,-6,-16,-34,-38,-24,-42,-20,-52,10,-8,-34,-24,-44,-50,-30,-34,0,-38,-42,8,-40,-8,-22,-22,-32,-20,-46,-58,-4,-24,-38,-30,-26,-46,-16,-2,-16,-26,-2,20,-54,-38,-18,-18,-12,6,-18,-44,-24,-18,-18,4,2,-6,-12,-14,-36,-48,8,-34,-40,-10,-38,-30,-28,-56,-46,-10,12,-18,16,20,-2,14,-8,16,2,4,4,2,-4,-10,18,-16,2,6,14,12,4,14,18,-10,-2,-16,12,0,-8,10,-18,-18,-16,-8,-6,-18,-26,-20,-24,-16,-20,-32,-4,-34,-34,-28,-18,-28,-24,-12,-18,-16,-30,-4,-14,-50,-10,-54,-46,-22,14,-18,-48,-20,-18,-18,-36,-38,-14,-16,-26,-14,-12,-26,-22,-26,-40,-4,-18,-42,-22,-24,-6,-36,-44,-46,0,-18,-6,-34,22,54,26,82,72,48,24,30,54,114,92,114,146,142,100,124,106,152,126,128,138,98,110,64,128,0,74,104,156,134,78,150,152,94,76,74,160,122,78,4,32,-12,14,2,26,14,36,-4,12,8,28,20,12,-2,10,-20,2,22,18,-12,10,34,20,8,32,8,30,12,38,6,36,34,10,30,2,66,46,14,34,36,20,32,38,8,40,20,10,40,36,44,68,34,38,30,0,42,40,-6,20,42,36,76,60,54,90,56,66,72,90,88,76,40,58,54,52,56,68,54,60,28,36,58,28,48,40,54,58,36,36,60,30,34,58,70,56,8,78,82,52,26,40,24,32,26,86,90,76,24,52,40,34,22,24,52,24,62,44,34,24,48,36,68,38,44,28,72,58,28,60,54,46,74,30,42,34,38,30,70,68,52,72,-20,-2,2,30,-40,-6,12,36,8,-2,30,14,0,12,-16,10,14,-8,-4,6,-14,2,-2,4,8,-4,2,28,-4,38,18,10,24,50,32,14,12,30,30,38,26,22,36,10,16,-10,20,54,36,12,32,46,16,14,6
