Symbol,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BSX,BWA,BXP,C,CAG,CAH,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HP,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
GOOG,62,60,46,94,82,30,36,70,92,76,88,50,58,36,86,30,22,34,60,52,28,54,54,64,44,50,40,52,84,60,82,-6,76,80,62,74,-12,114,52,66,56,50,56,40,50,92,66,22,28,54,26,50,48,0,108,74,52,70,70,56,36,54,34,58,74,36,110,22,56,48,30,76,50,76,34,28,66,28,-2,62,8,80,68,60,80,44,26,50,2,62,42,26,26,42,30,30,62,24,14,84,4,44,28,86,24,28,16,62,2,18,68,56,78,74,64,46,44,84,34,58,58,22,60,46,68,78,58,22,22,38,76,52,52,60,26,78,58,32,36,14,24,22,52,56,68,30,6,76,62,32,66,22,54,72,80,42,36,18,0,22,54,64,30,-6,56,6,72,66,8,66,38,74,94,80,66,74,32,64,48,50,60,72,64,70,52,66,50,44,58,68,46,50,74,6,66,78,56,0,224,54,64,60,48,92,62,60,74,32,50,64,86,46,50,58,58,84,52,30,84,50,72,46,8,-2,84,44,-8,56,74,40,72,72,62,64,14,76,92,40,62,54,70,56,40,36,66,88,90,54,44,44,20,84,58,48,76,50,4,50,72,22,26,84,26,50,42,34,24,90,64,40,34,48,70,22,34,4,42,76,34,34,64,-6,74,92,54,82,0,64,64,66,16,68,48,18,74,36,100,38,60,66,92,38,0,10,30,48,70,62,24,16,48,46,48,86,74,118,48,68,50,72,56,32,48,64,46,16,-12,62,30,92,30,30,40,50,48,58,78,70,56,54,22,12,54,50,12,62,56,82,64,38,50,34,60,68,74,-12,34,22,30,56,58,38,74,46,66,70,58,36,94,62,4,80,14,50,78,-2,64,62,58,70,68,66,64,72,30,30,54,62,74,70,78,42,76,40,52,78,24,88,28,40,26,18,72,60,14,50,50,72,62,14,48,74,42,48,52,62,24,68,82,86,50,32,44,44,80,90,68,30,42,58,92,50,26,56,94,38,46,12,42,60,74,64,64,78,72,16,36,24,60,36,64,82,96,88,72,72,80,68,30,62,58,88,36,-10,18,46,36,36,76,16,4,58,56,62,32,40,74,36,56,78,50,74,30,52,76,52,36,62,40,64,58,46,62
GOOGL,58,62,46,94,78,26,36,72,92,76,88,50,54,36,82,26,18,30,60,52,28,54,50,62,44,50,44,52,86,60,90,-4,76,88,54,74,-16,118,56,62,56,50,56,44,50,96,70,26,20,62,24,54,48,-4,104,74,52,74,72,60,38,54,38,58,74,36,110,22,48,48,30,80,54,80,38,24,70,24,-2,62,12,80,68,56,80,36,34,54,-2,66,38,26,24,34,34,30,58,20,10,88,0,40,28,90,28,28,24,62,6,14,68,52,74,74,60,50,44,80,26,58,62,18,64,46,68,82,54,18,22,30,76,52,52,60,26,74,58,32,36,14,20,14,56,60,72,26,6,76,58,28,70,22,54,76,82,42,32,18,0,22,58,68,22,-10,52,-2,76,66,8,70,42,74,90,78,66,78,28,68,52,54,64,72,72,74,52,66,50,48,58,72,46,56,66,6,58,82,60,224,0,54,68,64,44,96,62,68,78,36,50,64,86,50,54,58,62,80,52,30,80,54,68,50,10,-6,76,50,-12,48,78,40,68,72,66,64,6,76,96,32,66,54,74,52,48,36,62,88,94,56,48,48,16,80,50,48,76,46,4,50,72,26,22,80,22,50,38,38,20,94,60,40,34,44,74,22,30,8,38,80,26,34,64,-10,78,96,54,86,-4,68,64,70,16,72,52,14,78,28,96,34,60,68,96,38,-8,10,30,44,74,62,28,20,48,38,48,90,70,114,44,68,50,72,60,32,52,60,42,12,-12,58,22,92,30,30,44,46,40,62,82,72,60,58,22,16,52,50,8,66,56,78,60,34,50,26,58,68,78,-10,30,22,34,60,54,34,78,46,70,66,62,36,94,66,4,76,10,54,78,-2,64,66,54,70,76,66,68,76,26,30,54,66,78,74,78,38,80,44,48,78,16,92,26,40,30,22,68,60,14,54,50,76,66,10,48,74,38,44,56,62,24,72,86,88,42,28,40,44,76,94,68,26,46,58,92,46,22,56,98,42,46,16,50,62,78,68,68,82,72,16,36,24,56,40,64,90,100,92,76,72,80,72,26,62,58,92,28,-10,10,50,38,32,76,12,4,58,56,62,28,40,70,36,64,86,50,78,24,56,78,48,36,66,36,60,62,46,58
GPC,56,70,108,76,78,32,22,52,80,46,64,74,56,96,60,34,12,88,62,44,44,32,86,44,108,30,72,82,78,36,54,8,54,102,50,114,-4,68,70,44,78,74,96,60,66,126,78,64,36,44,32,66,70,-6,62,86,34,82,50,82,68,96,52,60,64,70,116,4,30,28,24,100,74,98,62,46,112,64,-34,72,8,106,68,70,86,68,40,100,22,92,34,46,62,40,50,90,54,-22,32,102,-10,38,52,94,22,30,56,50,52,36,46,20,86,100,68,50,74,50,50,38,46,38,82,70,86,94,58,52,-8,58,56,76,76,60,52,78,100,38,42,54,32,26,86,66,62,-32,24,100,76,14,80,32,52,94,102,52,10,26,20,38,76,98,4,6,32,20,110,52,-6,70,36,98,44,92,82,92,30,110,40,26,78,62,98,60,64,76,76,70,36,110,54,74,94,38,84,90,74,54,54,0,36,62,72,74,128,62,72,62,98,82,106,28,48,78,70,76,96,26,96,48,108,90,30,36,72,86,0,38,110,8,38,86,64,82,18,60,94,44,66,86,84,48,58,58,68,54,104,70,86,86,78,44,42,84,78,78,32,68,90,68,48,70,42,50,64,44,50,56,82,102,56,54,82,32,56,6,64,100,58,44,120,-4,120,68,52,84,6,102,42,40,48,100,102,40,62,22,70,52,30,96,66,80,26,22,36,84,108,52,30,62,66,44,42,82,38,56,40,78,94,88,76,58,42,78,52,4,20,50,14,94,74,44,56,8,56,86,100,64,86,66,6,74,68,76,4,92,70,96,64,86,68,12,56,98,116,12,44,52,74,116,54,40,104,40,64,92,50,38,70,100,22,94,46,74,90,-36,46,92,80,72,60,58,42,70,24,68,30,90,110,56,96,20,110,60,86,100,42,110,2,58,70,54,78,86,44,72,72,86,30,2,78,44,32,34,78,86,54,116,72,74,58,54,78,76,70,92,94,22,72,82,104,56,84,94,80,54,64,20,0,64,80,92,104,104,90,32,88,62,34,88,106,98,106,92,42,80,122,64,28,52,58,70,16,8,62,80,82,62,76,6,2,70,84,88,56,78,44,36,64,60,92,94,8,62,76,8,102,108,36,62,66,90,30
GPN,94,36,12,54,64,38,52,104,98,108,70,30,104,40,70,28,46,22,82,52,58,60,86,78,34,52,30,64,46,54,74,-14,82,88,64,64,38,84,72,98,62,104,28,20,80,44,50,42,34,54,56,34,62,34,78,40,40,66,74,38,60,50,48,36,60,44,64,66,2,106,60,34,66,60,46,36,52,74,22,82,50,48,104,68,52,54,34,46,46,30,90,38,54,66,30,24,64,42,12,38,30,50,4,68,20,100,32,66,-2,8,80,104,62,84,80,10,84,82,40,44,50,24,50,32,34,76,44,44,32,60,80,24,34,56,30,24,48,8,46,22,54,2,42,34,68,48,34,80,70,34,96,4,94,30,44,22,52,48,14,64,74,62,44,44,66,20,38,34,38,42,30,40,56,44,30,48,44,42,106,68,46,54,52,104,54,38,16,50,92,50,74,42,36,68,64,48,66,64,68,36,0,20,72,66,26,36,52,18,10,52,84,42,28,100,72,58,26,62,82,46,46,34,14,12,40,30,24,40,60,74,74,78,34,44,26,108,74,110,50,40,28,74,52,14,84,94,60,26,76,48,36,104,46,48,54,20,20,26,74,4,4,82,40,48,46,40,6,4,52,70,2,102,38,20,58,66,52,62,56,70,46,22,88,78,50,46,26,28,74,140,54,52,46,56,40,24,96,50,80,52,40,18,50,98,52,96,60,78,38,40,28,74,14,74,92,116,92,46,72,52,62,42,16,32,82,30,-12,70,16,84,28,62,14,108,20,52,70,38,36,60,18,8,38,42,6,30,52,62,68,36,22,92,118,44,54,14,36,60,56,54,64,56,48,44,52,76,68,44,48,36,44,50,0,34,68,28,48,30,50,44,110,70,86,40,50,24,44,32,60,78,52,90,50,48,94,72,52,74,34,58,40,14,74,32,10,26,40,46,108,24,14,94,52,52,48,42,32,42,46,78,86,32,56,26,74,42,50,76,24,70,46,92,56,42,108,88,46,64,62,60,60,64,68,80,72,56,26,36,56,42,68,64,68,74,134,46,46,26,52,54,82,100,58,0,26,32,56,56,50,44,38,40,40,88,90,46,34,50,38,60,44,56,30,68,44,28,66,56,66,76,54,40,66
GPS,18,58,50,38,40,12,6,24,48,20,32,38,14,74,32,-28,-16,6,24,38,-18,42,16,52,60,12,64,36,30,18,30,-18,18,46,-8,66,-30,52,42,30,18,-2,60,32,14,60,78,4,-14,24,-10,40,36,-60,38,28,44,64,22,52,38,52,32,54,56,14,78,-38,16,2,-16,76,8,80,28,46,66,16,-40,52,-14,70,22,10,56,4,34,50,-32,30,-10,28,2,-22,-14,66,38,-20,14,44,-42,10,12,74,48,2,26,32,30,28,22,6,44,42,12,26,38,36,44,28,42,-2,40,48,52,80,46,24,-26,-2,52,62,60,34,-14,70,50,18,-26,12,-6,-8,42,58,56,-24,20,46,36,-22,54,-2,18,64,50,40,-16,-16,-22,-34,70,44,-40,-32,-14,-14,80,26,-10,58,28,54,20,70,58,66,22,48,-2,-10,62,8,36,24,34,46,34,44,40,62,28,18,48,2,44,68,48,60,64,62,20,0,18,70,58,50,60,40,74,28,70,18,38,30,30,44,70,2,36,16,54,26,14,-2,36,52,-28,26,54,-14,12,52,54,32,-8,24,36,-6,70,52,70,-2,44,32,16,22,66,68,10,50,16,14,24,24,56,92,20,58,34,48,8,24,-14,10,50,4,44,110,62,46,88,14,74,26,28,-22,-10,68,8,12,80,-46,72,26,40,58,-18,52,22,36,-12,62,64,-2,34,22,42,0,-2,80,52,30,-22,-20,28,22,56,38,24,34,30,-16,34,74,24,38,-22,72,22,42,44,32,50,54,12,-22,-52,-2,-4,72,42,10,46,-8,16,40,46,76,42,40,-14,50,54,56,-36,32,38,56,16,24,60,-20,20,72,50,-34,-4,-2,20,70,-6,6,50,14,46,38,2,30,52,54,-24,60,10,78,74,-32,26,82,50,60,46,20,30,74,-4,30,32,70,74,64,82,-10,60,-2,18,74,-26,62,-38,4,68,24,20,78,24,60,18,52,8,-22,18,24,-22,-4,64,24,32,74,56,48,8,16,44,44,14,66,82,-24,78,52,84,6,16,64,68,10,52,-6,-28,32,38,58,82,86,46,-20,54,24,26,68,58,56,80,68,34,20,86,40,16,14,2,20,-14,-46,14,60,42,48,56,-46,-44,72,56,28,-18,24,22,-10,64,44,50,78,-34,34,54,-2,44,50,-10,28,-2,68,-10
GRMN,70,46,46,72,72,16,44,82,70,80,64,58,90,58,74,10,26,40,80,28,10,46,52,42,56,44,28,50,64,62,66,-24,36,86,92,68,30,58,80,104,38,72,56,46,46,62,82,40,12,28,16,72,64,-6,56,66,46,48,74,46,66,54,48,32,72,34,68,40,34,54,60,74,50,38,40,26,76,44,-20,50,16,42,76,62,68,40,42,54,14,42,38,54,62,36,20,38,62,24,54,66,-2,36,12,50,-2,62,44,56,6,38,84,48,74,72,72,-10,64,82,34,38,48,22,50,44,66,48,50,70,28,78,40,46,48,54,28,40,74,4,18,26,14,14,38,42,50,24,20,76,58,4,72,-10,60,56,88,36,38,34,2,22,46,80,28,-6,48,6,66,46,-10,70,34,54,48,58,74,64,16,42,36,58,26,68,68,66,84,20,32,20,50,74,34,60,50,20,64,62,66,48,44,72,72,18,0,46,54,46,58,18,42,44,74,52,24,68,32,56,56,56,80,36,66,62,6,22,36,42,12,40,64,32,68,74,52,56,46,82,70,68,42,52,56,54,52,26,70,78,72,20,60,76,42,68,72,46,44,36,22,26,84,36,14,64,16,24,16,30,8,22,38,52,18,62,64,16,70,50,78,76,66,40,54,2,54,60,58,42,34,54,38,60,32,44,84,32,62,18,90,38,54,58,48,50,30,52,22,76,80,40,42,50,32,82,24,46,78,58,80,34,66,40,52,32,28,48,42,12,10,52,0,76,52,42,30,72,40,70,68,38,74,76,64,44,48,60,6,46,62,58,62,38,22,44,62,40,84,-22,30,48,76,52,36,28,92,38,38,82,48,28,40,66,18,76,46,56,62,-12,24,44,60,54,68,66,56,50,28,32,52,20,52,46,62,54,68,44,86,70,28,50,-4,60,38,50,80,32,-6,36,32,72,48,8,28,64,30,32,64,58,40,68,64,52,74,46,38,22,62,42,34,52,34,70,54,92,42,58,54,46,36,28,8,48,60,54,66,62,66,32,28,42,44,50,52,66,70,46,60,76,82,46,36,26,66,68,48,-10,40,50,68,28,56,14,-12,48,64,72,56,50,12,16,28,36,40,44,-6,62,72,38,70,66,42,72,58,60,74
GS,72,106,50,90,72,16,52,68,88,64,96,76,42,92,58,-32,-20,14,54,64,-8,38,30,44,90,50,100,64,62,62,82,-2,74,98,50,104,-38,88,90,50,58,34,88,68,68,84,124,0,-18,52,-4,94,84,-52,80,58,68,148,52,104,74,116,86,100,78,62,122,22,24,60,24,112,40,138,16,52,124,12,-32,78,-12,100,60,80,100,40,68,116,-4,100,34,48,10,22,6,108,68,-2,10,104,-38,50,18,120,34,50,52,44,20,-10,72,44,88,84,56,36,66,92,46,82,64,-6,116,78,84,128,14,34,-22,34,64,72,64,70,6,34,110,20,-2,42,-22,-22,74,72,82,6,38,80,54,-26,50,-10,58,118,118,64,-4,-22,-36,-24,116,108,-28,-38,26,-26,100,44,-26,84,44,76,46,94,98,122,4,100,40,50,130,74,112,62,70,90,10,64,46,102,78,84,74,6,90,106,122,92,96,74,66,70,46,0,90,92,62,118,78,98,82,48,80,50,70,86,94,42,86,62,120,94,36,-24,52,62,-48,50,94,8,46,92,54,64,26,48,108,46,92,76,106,48,86,26,80,76,134,88,84,84,52,52,24,70,150,78,-6,126,84,30,0,92,-6,26,64,-22,34,92,90,80,74,52,114,16,62,4,58,92,14,30,138,-58,86,80,66,92,-6,88,46,58,-4,96,90,12,78,20,76,16,38,120,74,80,-8,18,22,60,102,40,32,84,84,32,64,152,64,98,18,102,82,92,86,70,68,80,36,-42,-28,58,-14,76,52,38,76,34,16,86,110,130,88,106,4,46,72,74,-46,94,56,92,68,18,58,26,44,110,100,-54,-4,-2,58,120,26,16,114,12,62,94,22,34,128,100,-44,96,2,90,110,-62,78,100,74,62,92,66,68,90,28,20,28,114,102,116,94,20,108,32,68,46,4,108,-20,20,110,32,72,128,4,100,24,98,46,-36,26,58,2,46,130,108,32,94,90,102,46,34,68,58,56,104,104,24,56,90,66,68,60,84,116,34,66,26,22,54,82,100,78,92,104,-20,46,20,54,102,96,114,116,126,80,64,108,90,18,14,26,68,30,-28,14,98,82,74,90,-36,-46,122,84,42,14,54,46,8,90,64,56,94,-42,78,76,22,96,92,18,36,66,90,50
GWW,58,68,72,64,74,32,44,50,72,34,86,52,28,86,52,-14,-38,34,36,42,14,26,44,14,88,30,76,70,60,30,76,-20,58,92,32,108,-32,60,52,40,58,48,92,62,42,110,80,36,-10,22,12,80,78,-48,80,88,50,84,52,74,44,88,68,46,80,54,92,-2,42,30,14,114,56,106,32,48,108,6,-26,62,-10,90,50,74,94,42,38,108,-10,78,30,32,16,2,26,102,50,2,24,110,-56,38,28,94,8,22,28,44,30,14,50,20,86,92,58,18,66,58,52,54,58,0,78,74,94,104,40,40,-30,40,32,78,74,74,16,60,116,46,2,28,-10,-16,66,50,52,0,8,76,56,-26,64,6,36,94,114,48,2,-10,-10,4,68,114,-30,-40,32,-38,110,48,-30,58,40,118,20,78,84,96,-8,106,22,20,84,58,98,18,64,84,36,70,32,110,52,72,78,-6,78,110,72,62,62,128,26,58,54,90,0,82,62,84,98,72,84,24,48,44,76,64,94,12,84,60,104,86,14,4,58,60,-18,34,100,2,16,86,56,70,8,42,106,44,80,70,92,50,68,20,56,58,120,60,60,82,62,30,20,76,94,76,-2,80,78,40,16,70,8,34,40,-8,36,68,86,70,64,34,84,2,60,2,56,94,20,36,102,-44,88,66,52,90,-20,78,22,44,10,78,94,8,84,34,62,12,44,102,66,86,-6,0,10,54,98,38,-6,64,50,20,42,96,54,60,20,98,64,82,92,48,62,66,24,-44,-16,44,-8,70,70,36,56,4,24,88,84,68,68,80,8,54,38,56,-20,94,50,70,62,52,48,12,28,86,114,-32,12,10,60,106,24,42,104,4,76,104,26,22,74,88,-16,94,18,72,84,-50,18,62,68,84,70,76,58,62,22,28,28,82,86,72,92,-10,116,68,46,72,-8,94,-6,36,80,28,78,98,12,74,56,98,22,-44,44,52,8,28,76,76,46,102,100,52,32,32,40,64,70,100,84,-8,74,44,74,42,48,92,66,12,64,0,0,36,88,82,72,82,72,-6,58,30,30,86,98,98,102,76,54,54,126,38,8,40,20,62,26,-16,12,96,66,70,64,-40,-38,74,70,26,12,36,54,6,74,24,52,92,-42,98,78,22,98,72,22,66,76,90,22
HAL,60,68,62,62,48,38,44,30,48,60,80,74,28,84,78,-38,-32,2,36,52,-26,8,18,18,68,52,66,24,44,40,80,-28,70,82,34,86,-20,66,74,54,48,34,66,90,32,72,74,-8,-48,24,-22,74,72,-70,54,74,52,100,46,72,38,82,74,82,94,74,90,-6,16,20,22,112,32,120,16,30,110,-16,-40,54,4,68,42,64,76,12,62,80,-26,60,32,50,-4,6,-22,100,52,0,4,92,-66,52,20,92,50,20,110,26,36,-4,58,20,88,58,24,24,40,56,36,94,106,-18,64,68,52,90,12,26,-22,30,36,44,52,56,18,26,90,24,-24,2,-20,-46,78,132,62,-14,38,66,18,-28,38,4,26,104,114,120,8,-38,-34,-46,98,104,-46,-38,50,-32,80,46,-32,74,102,58,62,54,114,106,-36,68,28,0,80,58,124,40,60,72,-10,102,58,66,68,68,40,0,58,88,92,60,68,62,36,50,46,92,82,0,36,70,50,82,66,92,72,2,74,68,90,0,62,134,74,72,2,-28,32,60,-64,48,82,-4,38,60,34,60,22,36,92,46,56,66,90,76,74,30,74,68,90,62,70,56,22,24,20,54,94,54,2,82,60,64,-20,72,-30,50,38,-40,18,54,40,74,44,24,74,-4,26,16,50,88,30,14,92,-58,86,72,36,90,0,120,24,46,-52,76,64,-14,74,40,68,6,6,72,102,38,-16,2,12,40,92,20,28,86,88,10,122,106,44,64,10,84,66,104,74,78,118,60,42,-58,-4,58,-16,54,44,18,116,38,22,70,76,94,96,94,-6,50,40,52,-48,54,116,58,82,22,94,22,24,70,72,-36,-2,6,50,78,10,8,102,-6,72,70,2,24,84,80,-18,68,0,74,78,-56,66,82,48,118,74,48,64,76,22,-6,42,78,68,72,66,-8,78,32,52,34,-24,60,-2,4,78,8,44,88,-8,168,30,84,40,-38,32,50,-10,10,88,78,44,58,90,56,14,20,40,50,40,70,52,10,30,54,44,54,22,58,72,6,58,16,10,64,70,104,46,52,58,-40,44,14,48,100,56,56,96,72,60,60,70,80,18,20,14,80,36,-30,-12,70,70,56,100,-52,-44,72,28,18,-2,92,32,-8,72,20,48,88,-46,92,122,6,84,50,8,32,86,68,46
HAS,60,70,14,46,46,52,30,44,78,40,76,38,48,62,26,8,6,20,50,54,40,60,32,48,66,34,66,74,54,18,56,-36,32,56,26,88,0,78,28,58,48,58,70,22,52,74,60,36,10,50,42,46,44,-14,76,58,32,74,34,38,62,48,46,38,70,22,92,10,62,48,26,58,52,90,38,36,60,40,-16,76,32,90,66,38,82,64,44,78,0,74,52,20,50,18,18,44,70,24,32,70,-6,34,-4,88,10,46,24,40,20,-6,46,14,36,38,68,8,52,40,46,34,48,26,74,28,86,88,60,62,10,38,56,70,66,50,18,66,84,56,22,16,14,20,56,36,42,30,4,74,70,-4,72,-4,34,40,58,34,38,40,12,42,42,84,-18,-12,36,-12,72,50,30,56,26,60,66,64,46,98,8,58,58,38,70,64,70,52,42,40,60,40,-2,66,52,50,70,2,72,68,46,74,78,72,52,60,58,62,62,36,0,42,64,52,92,4,46,54,40,74,74,40,72,30,44,42,20,8,70,78,10,42,42,42,62,54,98,60,-22,62,74,40,60,56,52,46,64,8,32,72,56,28,34,58,32,50,86,26,64,38,24,58,46,32,32,48,42,6,28,48,20,66,46,64,30,68,76,34,62,20,44,68,26,42,72,-4,72,70,82,60,14,60,40,80,38,76,92,30,86,50,64,24,56,80,76,62,16,22,34,46,72,54,24,38,30,40,18,72,60,66,46,72,44,56,82,68,44,50,26,-22,-18,62,-8,78,34,38,48,30,16,52,56,54,58,50,30,54,30,40,26,62,28,76,48,44,50,18,46,74,40,-8,10,36,56,74,18,32,56,42,52,64,48,-16,70,60,-8,62,16,52,62,-8,18,32,56,54,52,26,54,86,34,40,26,62,86,60,52,26,56,26,48,80,30,72,28,66,46,34,88,80,-2,46,56,84,52,-2,44,54,-6,44,52,48,52,92,80,42,68,44,28,50,52,66,72,32,56,76,64,50,68,46,82,32,22,40,22,82,64,80,84,92,68,34,28,32,52,60,60,88,90,76,66,50,86,30,42,56,62,68,12,6,22,60,46,66,72,-6,24,64,70,68,28,28,38,38,54,52,54,72,0,34,44,22,48,64,36,48,56,76,72
HBAN,44,58,22,34,36,14,22,44,62,34,66,66,28,58,18,-30,-40,6,30,28,-10,22,12,8,74,22,72,34,42,16,44,8,26,64,14,84,-90,38,62,26,32,20,52,28,38,64,72,4,-24,12,-4,58,48,-60,62,44,34,136,22,68,30,104,52,84,34,30,100,14,2,30,20,68,36,118,6,38,84,-4,-44,46,-36,80,42,44,70,22,22,134,-34,60,0,2,8,-12,2,130,38,-18,2,82,-46,12,-2,116,0,26,30,10,16,-46,34,-8,42,64,48,-2,28,32,22,42,42,-14,66,44,42,102,-18,12,-56,24,18,50,56,42,-20,-6,76,18,4,28,-22,-28,46,62,50,-10,0,60,30,-36,22,-36,22,74,84,42,-30,-16,-44,-12,92,74,-56,-52,6,-40,84,22,-32,46,32,58,22,52,80,94,0,54,12,22,138,52,62,44,56,104,2,40,14,62,42,52,32,-8,50,72,70,32,36,62,18,40,18,118,84,70,42,0,66,64,28,12,56,40,46,58,64,34,56,36,86,70,6,-34,26,40,-34,12,60,-26,12,64,34,42,8,10,64,24,62,66,66,26,80,0,34,46,78,64,34,42,40,26,14,56,106,50,-18,138,54,6,-4,58,-18,-6,44,-32,6,58,40,76,44,30,74,-22,30,-10,38,58,-12,14,118,-62,44,42,44,56,-14,70,14,38,-12,58,58,-12,54,8,54,-8,32,86,56,60,-22,-6,8,46,52,18,-2,38,40,0,42,94,46,52,-12,118,46,60,66,32,50,46,6,-46,-54,22,-26,40,34,22,34,-8,-6,70,70,118,72,60,-36,12,34,40,-32,78,18,52,46,2,22,4,12,122,84,-72,-10,-18,46,82,-10,34,78,-20,54,62,6,16,126,66,-44,56,4,64,88,-68,30,78,30,38,66,44,52,68,36,-10,10,140,70,92,78,4,72,20,32,14,-10,70,-46,4,88,22,30,124,-10,68,20,68,-4,-44,8,34,-18,36,106,50,26,64,58,80,34,14,32,54,24,68,120,6,18,52,30,32,34,48,84,2,42,6,-8,24,58,60,68,82,56,-24,28,14,4,106,76,90,82,112,38,40,58,36,-2,0,20,42,-2,-50,-4,70,42,34,44,-50,-64,108,46,30,4,16,14,20,54,14,18,76,-50,72,52,-2,68,48,0,20,46,116,24
